,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
372,0.492,0.807,10,-3.677,0,0.0854,0.205,0.00275,0.384,0.477,107.087,audio_features,6luBKkFUt5wTwz7hpLhp12,spotify:track:6luBKkFUt5wTwz7hpLhp12,https://api.spotify.com/v1/tracks/6luBKkFUt5wTwz7hpLhp12,https://api.spotify.com/v1/audio-analysis/6luBKkFUt5wTwz7hpLhp12,229805,4
373,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,audio_features,435g6uM0Atz3MyYwafHEss,spotify:track:435g6uM0Atz3MyYwafHEss,https://api.spotify.com/v1/tracks/435g6uM0Atz3MyYwafHEss,https://api.spotify.com/v1/audio-analysis/435g6uM0Atz3MyYwafHEss,165848,4
374,0.818,0.666,11,-5.319,1,0.0759,0.343,0.0,0.0922,0.529,93.95,audio_features,3XjvMZqm2AQ8thMCD6w9w2,spotify:track:3XjvMZqm2AQ8thMCD6w9w2,https://api.spotify.com/v1/tracks/3XjvMZqm2AQ8thMCD6w9w2,https://api.spotify.com/v1/audio-analysis/3XjvMZqm2AQ8thMCD6w9w2,199149,4
375,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,audio_features,59hBR0BCtJsfIbV9VzCVAp,spotify:track:59hBR0BCtJsfIbV9VzCVAp,https://api.spotify.com/v1/tracks/59hBR0BCtJsfIbV9VzCVAp,https://api.spotify.com/v1/audio-analysis/59hBR0BCtJsfIbV9VzCVAp,200930,4
376,0.759,0.579,0,-8.398,1,0.248,0.514,0.0014,0.237,0.736,144.025,audio_features,2tQG2nFEHhWsH05kFKlC4A,spotify:track:2tQG2nFEHhWsH05kFKlC4A,https://api.spotify.com/v1/tracks/2tQG2nFEHhWsH05kFKlC4A,https://api.spotify.com/v1/audio-analysis/2tQG2nFEHhWsH05kFKlC4A,109750,4
377,0.817,0.851,11,-3.309,0,0.0627,0.0351,0.0,0.232,0.886,127.019,audio_features,1MB8kTH7VKvAMfL9SHgJmG,spotify:track:1MB8kTH7VKvAMfL9SHgJmG,https://api.spotify.com/v1/tracks/1MB8kTH7VKvAMfL9SHgJmG,https://api.spotify.com/v1/audio-analysis/1MB8kTH7VKvAMfL9SHgJmG,215600,4
378,0.629,0.548,5,-7.694,1,0.0334,0.471,2.21e-05,0.104,0.582,165.931,audio_features,2GAqIzPU7v3kfvY4hZQ9jm,spotify:track:2GAqIzPU7v3kfvY4hZQ9jm,https://api.spotify.com/v1/tracks/2GAqIzPU7v3kfvY4hZQ9jm,https://api.spotify.com/v1/audio-analysis/2GAqIzPU7v3kfvY4hZQ9jm,212120,4
379,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,audio_features,4sx6NRwL6Ol3V6m9exwGlQ,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/tracks/4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/audio-analysis/4sx6NRwL6Ol3V6m9exwGlQ,145850,4
380,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,audio_features,70t7Q6AYG6ZgTYmJWcnkUM,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,https://api.spotify.com/v1/tracks/70t7Q6AYG6ZgTYmJWcnkUM,https://api.spotify.com/v1/audio-analysis/70t7Q6AYG6ZgTYmJWcnkUM,183853,4
381,0.683,0.216,1,-11.005,1,0.0388,0.567,0.00105,0.0756,0.311,119.951,audio_features,52DudaVZObvmBgEX6IObHX,spotify:track:52DudaVZObvmBgEX6IObHX,https://api.spotify.com/v1/tracks/52DudaVZObvmBgEX6IObHX,https://api.spotify.com/v1/audio-analysis/52DudaVZObvmBgEX6IObHX,205432,3
