,artist_name,track_name,track_id,popularity
110,Oscar Maydon,Fin de Semana,6TBzRwnX2oYd8aOrOuyK1p,88
111,KAROL G,AMARGURA,505v13epFXodT9fVAJ6h8k,91
112,Taylor Swift,Dear John (Taylor's Version),1zU8j1x3yi9xalMF96pzKp,85
113,Odetari,LOOK DON’T TOUCH (w/ cade clair),7E9kejvFw8NDfuu4y3hqkp,86
114,Bailey Zimmerman,Fall In Love,0rCFRyEy4WXjRXNpO80Dzs,81
115,Becky G,Chanel,5RcxRGvmYai7kpFSfxe5GY,87
116,Post Malone,Enough Is Enough,3BHFResGQiUvbYToUdaDQz,86
117,Taylor Swift,Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,85
118,Kali Uchis,Moonlight,2i2gDpKKWjvnRTOZRhaPh2,89
119,Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4e3ZNTAV6PCrdYMUrUlMpQ,84
120,Taylor Swift,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),4ABYxlb92WBIjHu7TIKmml,84
121,NewJeans,Get Up,1wUnuiXMMvhudmzvcCtlZP,87
122,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),4s8BIKx4Zh6ryAEz8RTlaU,84
123,Travis Scott,PARASAIL (feat. Yung Lean & Dave Chappelle),2Q0aElTZQtEUsoiaQfizu6,85
124,Peso Pluma,RUBICON,0xGZjxYqcNQ8WqxyeZ4eSN,87
125,Peso Pluma,Bye,6n2P81rPk2RTzwnNNgFOdb,86
126,Eden Muñoz,Abcdario,0qCPD6ilr9nXkI4KVZgcns,87
127,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,84
128,ROSALÍA,BESO,609E1JCInJncactoMmkDon,93
129,Doja Cat,Attention,11xC6P3iKYpFThT6Ce1KdG,85
130,Peso Pluma,VVS,3B0swL7Qil9bB7eKzBREBK,86
131,Taylor Swift,Speak Now (Taylor's Version),5xXqyjLicvEpch72qEryFT,86
132,Lil Tecca,500lbs,1xWkeSPhf3bZqHY7Ncz8vp,81
133,Lil Mabu,MATHEMATICAL DISRESPECT,0Ymjv0OJeIIPXr6s9wi3iW,83
